field_prime_e1,field_prime_e2,trace_e1,trace_e2,cm_fundamental_discriminant,cm_conductor,embedding_degree_e1,embedding_degree_e2,rho_max,status,first_rejecting_condition
26641,26953,-311,313,-9843,1,>12,9,1.001142589772,e2_only,k1_not_in_3_12
26839,27127,-287,289,-24987,1,>12,7,1.001046665531,e2_only,k1_not_in_3_12
27361,27647,-285,287,-28219,1,>12,3,1.001017785016,e2_only,k1_not_in_3_12
27481,27631,-149,151,-3,171,>12,12,1.000532564408,e2_only,k1_not_in_3_12
28627,28921,-293,295,-28659,1,5,>12,1.000995667634,e1_only,k2_not_in_3_12
29423,29501,-77,79,-111763,1,10,>12,1.000257298356,e1_only,k2_not_in_3_12
29873,30113,-239,241,-62371,1,8,>12,1.000776529328,e1_only,k2_not_in_3_12
30341,30517,-175,177,-90739,1,>12,5,1.000560448565,e2_only,k1_not_in_3_12
30977,31153,-175,177,-93283,1,6,4,1.000547873030,hit,none
32653,32971,-317,319,-3347,3,5,>12,1.000932455195,e1_only,k2_not_in_3_12
32749,33023,-273,275,-56467,1,11,>12,1.000801400354,e1_only,k2_not_in_3_12
32971,33289,-317,319,-31395,1,>12,10,1.000922644513,e2_only,k1_not_in_3_12
33487,33601,-113,115,-121179,1,10,>12,1.000326188034,e1_only,k2_not_in_3_12
33809,33967,-157,159,-110587,1,>12,8,1.000447085748,e2_only,k1_not_in_3_12
33811,34171,-359,361,-707,3,5,>12,1.001015591474,e1_only,k2_not_in_3_12
34183,34381,-197,199,-97923,1,9,>12,1.000553249749,e1_only,k2_not_in_3_12
34301,34483,-181,183,-104443,1,7,>12,1.000506748663,e1_only,k2_not_in_3_12
34327,34651,-323,325,-32979,1,>12,9,1.000899526027,e2_only,k1_not_in_3_12
35251,35509,-257,259,-74955,1,>12,5,1.000696477009,e2_only,k1_not_in_3_12
35671,36017,-345,347,-23659,1,8,>12,1.000920905318,e1_only,k2_not_in_3_12
35851,36229,-377,379,-51,5,>12,10,1.001000125458,e2_only,k1_not_in_3_12
37321,37549,-227,229,-1995,7,9,>12,1.000578549977,e1_only,k2_not_in_3_12
37897,38167,-269,271,-8803,3,>12,8,1.000673391411,e2_only,k1_not_in_3_12
38083,38333,-249,251,-90331,1,>12,11,1.000620349963,e2_only,k1_not_in_3_12
38737,38993,-255,257,-89923,1,>12,9,1.000623493371,e2_only,k1_not_in_3_12
39749,40031,-281,283,-80035,1,5,>12,1.000667539515,e1_only,k2_not_in_3_12
40459,40763,-303,305,-70027,1,>12,11,1.000705661786,e2_only,k1_not_in_3_12
41413,41617,-203,205,-13827,3,4,6,1.000462208128,hit,none
41941,41981,-39,41,-166243,1,>12,12,1.000089558858,e2_only,k1_not_in_3_12
42437,42643,-205,207,-127723,1,6,4,1.000454449369,hit,none
43891,44101,-209,211,-131883,1,4,6,1.000446530341,hit,none
44021,44221,-199,201,-136483,1,12,>12,1.000423944786,e1_only,k2_not_in_3_12
45197,45337,-139,141,-161467,1,12,>12,1.000288536705,e1_only,k2_not_in_3_12
45343,45377,-33,35,-180283,1,>12,11,1.000069908445,e2_only,k1_not_in_3_12
46399,46817,-417,419,-11707,1,8,>12,1.000834662620,e1_only,k2_not_in_3_12
46441,46477,-35,37,-184539,1,>12,9,1.000072108811,e2_only,k1_not_in_3_12
50651,50969,-317,319,-102115,1,8,>12,1.000577752795,e1_only,k2_not_in_3_12
50969,51287,-317,319,-103387,1,>12,8,1.000573827802,e2_only,k1_not_in_3_12
52951,53353,-401,403,-5667,3,9,>12,1.000695335661,e1_only,k2_not_in_3_12
53381,53437,-55,57,-210499,1,>12,10,1.000096324509,e2_only,k1_not_in_3_12
53923,53951,-27,29,-4387,7,5,>12,1.000047646562,e1_only,k2_not_in_3_12
54751,55051,-299,301,-129603,1,>12,10,1.000500835841,e2_only,k1_not_in_3_12
55117,55333,-215,217,-3,241,>12,12,1.000358266976,e2_only,k1_not_in_3_12
55487,55897,-409,411,-54667,1,3,>12,1.000673930524,e1_only,k2_not_in_3_12
55697,55933,-235,237,-167563,1,6,4,1.000386931146,hit,none
58441,58477,-35,37,-232539,1,11,>12,1.000056106867,e1_only,k2_not_in_3_12
58699,58771,-71,73,-795,17,5,>12,1.000111641638,e1_only,k2_not_in_3_12
59621,59833,-211,213,-1603,11,>12,10,1.000322804990,e2_only,k1_not_in_3_12
59879,60029,-149,151,-4435,7,>12,7,1.000227445544,e2_only,k1_not_in_3_12
60889,61261,-371,373,-105915,1,5,>12,1.000552872557,e1_only,k2_not_in_3_12
61553,61651,-97,99,-236803,1,5,>12,1.000144260764,e1_only,k2_not_in_3_12
63599,63823,-223,225,-204667,1,11,>12,1.000317881354,e1_only,k2_not_in_3_12
63601,64091,-489,491,-15283,1,>12,8,1.000693895857,e2_only,k1_not_in_3_12
63773,64271,-497,499,-8083,1,5,>12,1.000703114476,e1_only,k2_not_in_3_12
64433,64483,-49,51,-255331,1,>12,8,1.000070050776,e2_only,k1_not_in_3_12
65521,65537,-15,17,-261859,1,8,>12,1.000022016585,e1_only,k2_not_in_3_12
65921,66109,-187,189,-228715,1,7,>12,1.000256649697,e1_only,k2_not_in_3_12
65963,66373,-409,411,-96571,1,12,>12,1.000558389897,e1_only,k2_not_in_3_12
68113,68539,-425,427,-10203,3,>12,11,1.000560237090,e2_only,k1_not_in_3_12
68947,69073,-125,127,-28907,3,8,>12,1.000163881837,e1_only,k2_not_in_3_12
70207,70621,-413,415,-12251,3,11,>12,1.000526877177,e1_only,k2_not_in_3_12
70687,71147,-459,461,-72067,1,>12,3,1.000580912492,e2_only,k1_not_in_3_12
71707,72169,-461,463,-74307,1,8,>12,1.000574420534,e1_only,k2_not_in_3_12
71993,72341,-347,349,-167563,1,10,>12,1.000431153273,e1_only,k2_not_in_3_12
72341,72689,-347,349,-168955,1,>12,5,1.000428899236,e2_only,k1_not_in_3_12
74167,74531,-363,365,-164899,1,10,>12,1.000436579842,e1_only,k2_not_in_3_12
74419,74891,-471,473,-75835,1,>12,3,1.000563624369,e2_only,k1_not_in_3_12
74891,75367,-475,477,-73939,1,3,>12,1.000564496565,e1_only,k2_not_in_3_12
74929,75223,-293,295,-3,267,>12,12,1.000348889290,e2_only,k1_not_in_3_12
76207,76441,-233,235,-250539,1,10,>12,1.000272735749,e1_only,k2_not_in_3_12
77513,77801,-287,289,-227683,1,5,>12,1.000329415007,e1_only,k2_not_in_3_12
78121,78401,-279,281,-234643,1,4,6,1.000317572442,hit,none
80687,81181,-493,495,-79699,1,3,>12,1.000540235266,e1_only,k2_not_in_3_12
80749,80761,-11,13,-1435,15,>12,9,1.000013151277,e2_only,k1_not_in_3_12
81023,81401,-377,379,-181963,1,10,>12,1.000411811348,e1_only,k2_not_in_3_12
81047,81349,-301,303,-233587,1,>12,7,1.000329061190,e2_only,k1_not_in_3_12
83777,83903,-125,127,-319483,1,>12,11,1.000132575362,e2_only,k1_not_in_3_12
85847,86341,-493,495,-100339,1,5,>12,1.000505085169,e1_only,k2_not_in_3_12
88661,88883,-221,223,-305803,1,>12,11,1.000219510493,e2_only,k1_not_in_3_12
91951,92317,-365,367,-234579,1,7,>12,1.000347578637,e1_only,k2_not_in_3_12
92401,92927,-525,527,-93979,1,>12,3,1.000496457116,e2_only,k1_not_in_3_12
92753,92867,-113,115,-358243,1,>12,11,1.000107391921,e2_only,k1_not_in_3_12
95507,95923,-415,417,-209803,1,9,>12,1.000379023301,e1_only,k2_not_in_3_12
98597,98911,-313,315,-296419,1,6,4,1.000276517706,hit,none
98801,98837,-35,37,-393979,1,>12,8,1.000031676094,e2_only,k1_not_in_3_12
99709,100003,-293,295,-3,323,>12,12,1.000255798346,e2_only,k1_not_in_3_12
101921,102547,-625,627,-17059,1,9,>12,1.000530979143,e1_only,k2_not_in_3_12
102229,102497,-267,269,-337627,1,>12,7,1.000226973702,e2_only,k1_not_in_3_12
102679,103141,-461,463,-198195,1,9,>12,1.000389048097,e1_only,k2_not_in_3_12
103231,103787,-555,557,-104899,1,>12,3,1.000465279749,e2_only,k1_not_in_3_12
103787,104347,-559,561,-102667,1,3,>12,1.000465897571,e1_only,k2_not_in_3_12
105467,105733,-265,267,-351643,1,11,>12,1.000217785520,e1_only,k2_not_in_3_12
105863,106441,-577,579,-90523,1,5,>12,1.000470620764,e1_only,k2_not_in_3_12
110681,111211,-529,531,-162883,1,11,>12,1.000411308787,e1_only,k2_not_in_3_12
114973,115321,-347,349,-339483,1,8,>12,1.000259363944,e1_only,k2_not_in_3_12
115657,115879,-221,223,-413787,1,>12,8,1.000164484968,e2_only,k1_not_in_3_12
121229,121631,-401,403,-324115,1,5,>12,1.000282821771,e1_only,k2_not_in_3_12
121631,122033,-401,403,-325723,1,>12,10,1.000281808862,e2_only,k1_not_in_3_12
121843,122321,-477,479,-259843,1,>12,9,1.000334350364,e2_only,k1_not_in_3_12
121967,122021,-53,55,-485059,1,10,>12,1.000037795714,e1_only,k2_not_in_3_12
122921,122953,-31,33,-490723,1,>12,7,1.000022210882,e2_only,k1_not_in_3_12
122921,123049,-127,129,-475555,1,>12,5,1.000088808860,e2_only,k1_not_in_3_12
123059,123397,-337,339,-378667,1,12,>12,1.000234026171,e1_only,k2_not_in_3_12
123983,124097,-113,115,-483163,1,8,>12,1.000078365134,e1_only,k2_not_in_3_12
124301,124367,-65,67,-492979,1,>12,5,1.000045252122,e2_only,k1_not_in_3_12
127597,127691,-93,95,-501739,1,5,>12,1.000062638960,e1_only,k2_not_in_3_12
129127,129553,-425,427,-335883,1,8,>12,1.000279868562,e1_only,k2_not_in_3_12
130553,131251,-697,699,-36403,1,7,>12,1.000452670340,e1_only,k2_not_in_3_12
131671,132299,-627,629,-133555,1,>12,3,1.000403639340,e2_only,k1_not_in_3_12
134921,135433,-511,513,-278563,1,9,>12,1.000320647522,e1_only,k2_not_in_3_12
134951,135469,-517,519,-272515,1,9,>12,1.000324319839,e1_only,k2_not_in_3_12
139967,140617,-649,651,-138667,1,3,>12,1.000391015156,e1_only,k2_not_in_3_12
139969,140533,-563,565,-242907,1,7,>12,1.000339379467,e1_only,k2_not_in_3_12
140401,140527,-125,127,-545979,1,>12,9,1.000075684065,e2_only,k1_not_in_3_12
143287,143947,-659,661,-138867,1,11,>12,1.000387072961,e1_only,k2_not_in_3_12
145177,145501,-323,325,-52931,3,5,>12,1.000187559009,e1_only,k2_not_in_3_12
147073,147457,-383,385,-49067,3,4,6,1.000219145716,hit,none
147151,147451,-299,301,-6163,9,5,>12,1.000171158083,e1_only,k2_not_in_3_12
148501,148891,-389,391,-49187,3,7,>12,1.000220249073,e1_only,k2_not_in_3_12
148627,149153,-525,527,-318883,1,>12,9,1.000296645836,e2_only,k1_not_in_3_12
149711,150107,-395,397,-442819,1,11,>12,1.000221676878,e1_only,k2_not_in_3_12
149921,150607,-685,687,-130459,1,9,>12,1.000383064149,e1_only,k2_not_in_3_12
152423,153151,-727,729,-81163,1,5,>12,1.000399249764,e1_only,k2_not_in_3_12
156217,156437,-219,221,-576907,1,7,>12,1.000117677611,e1_only,k2_not_in_3_12
156421,156817,-395,397,-469659,1,4,6,1.000211401793,hit,none
157837,158581,-743,745,-979,9,>12,12,1.000392891959,e2_only,k1_not_in_3_12
160499,160591,-91,93,-633715,1,10,>12,1.000047809612,e1_only,k2_not_in_3_12
163567,164267,-699,701,-165667,1,>12,3,1.000355724138,e2_only,k1_not_in_3_12
164201,164341,-139,141,-637483,1,5,>12,1.000070968539,e1_only,k2_not_in_3_12
164431,164837,-405,407,-493699,1,4,6,1.000205331136,hit,none
167437,167891,-453,455,-464539,1,>12,9,1.000225117776,e2_only,k1_not_in_3_12
173707,173779,-71,73,-76643,3,11,>12,1.000034347359,e1_only,k2_not_in_3_12
174289,174929,-639,641,-288835,1,>12,8,1.000303711765,e2_only,k1_not_in_3_12
175649,176369,-719,721,-185635,1,8,>12,1.000338739923,e1_only,k2_not_in_3_12
175691,176419,-727,729,-174235,1,3,>12,1.000342407441,e1_only,k2_not_in_3_12
176401,176597,-195,197,-667579,1,7,>12,1.000091923894,e1_only,k2_not_in_3_12
180547,180629,-81,83,-715627,1,7,>12,1.000037515018,e1_only,k2_not_in_3_12
180847,181619,-771,773,-763,13,>12,9,1.000351885438,e2_only,k1_not_in_3_12
182927,183451,-523,525,-458179,1,10,>12,1.000236071049,e1_only,k2_not_in_3_12
182999,183041,-41,43,-730315,1,8,>12,1.000018938570,e1_only,k2_not_in_3_12
185749,186301,-551,553,-439395,1,>12,12,1.000244585246,e2_only,k1_not_in_3_12
189661,190097,-435,437,-569419,1,4,6,1.000188941116,hit,none
189701,189851,-149,151,-736603,1,>12,10,1.000065036804,e2_only,k1_not_in_3_12
191353,191837,-483,485,-532123,1,>12,12,1.000207711662,e2_only,k1_not_in_3_12
193261,193469,-207,209,-730195,1,11,>12,1.000088375282,e1_only,k2_not_in_3_12
194083,194371,-287,289,-77107,3,11,>12,1.000121780249,e1_only,k2_not_in_3_12
197641,198337,-695,697,-34171,3,>12,9,1.000288280351,e2_only,k1_not_in_3_12
202021,202799,-777,779,-204355,1,>12,3,1.000314640505,e2_only,k1_not_in_3_12
202973,203321,-347,349,-691483,1,10,>12,1.000140174268,e1_only,k2_not_in_3_12
203311,203809,-497,499,-62915,3,11,>12,1.000200160027,e1_only,k2_not_in_3_12
203321,203669,-347,349,-27715,5,>12,5,1.000139914941,e2_only,k1_not_in_3_12
209317,209837,-519,521,-567907,1,11,>12,1.000202519551,e1_only,k2_not_in_3_12
210257,210631,-373,375,-701899,1,7,>12,1.000145005132,e1_only,k2_not_in_3_12
216127,216841,-713,715,-39571,3,8,>12,1.000268501290,e1_only,k2_not_in_3_12
216571,217307,-735,737,-19,131,>12,5,1.000276147820,e2_only,k1_not_in_3_12
218681,218923,-241,243,-816643,1,11,>12,1.000089954428,e1_only,k2_not_in_3_12
219187,219979,-791,793,-251067,1,>12,11,1.000293294373,e2_only,k1_not_in_3_12
225461,225523,-61,63,-898123,1,9,>12,1.000022307034,e1_only,k2_not_in_3_12
226511,226777,-265,267,-835819,1,11,>12,1.000095182050,e1_only,k2_not_in_3_12
234361,235199,-837,839,-379,25,>12,3,1.000288670683,e2_only,k1_not_in_3_12
236021,236111,-89,91,-936163,1,10,>12,1.000030816303,e1_only,k2_not_in_3_12
239611,240101,-489,491,-719323,1,4,6,1.000164925382,hit,none
241441,242171,-729,731,-434323,1,10,>12,1.000243574206,e1_only,k2_not_in_3_12
241771,241867,-95,97,-106451,3,>12,5,1.000032026401,e2_only,k1_not_in_3_12
245389,245411,-21,23,-981115,1,10,>12,1.000007223628,e1_only,k2_not_in_3_12
245521,246017,-495,497,-737059,1,4,6,1.000162608456,hit,none
247889,248821,-931,933,-124795,1,5,>12,1.000302131614,e1_only,k2_not_in_3_12
251323,252169,-845,847,-32363,3,7,>12,1.000270258939,e1_only,k2_not_in_3_12
251527,252457,-929,931,-143067,1,>12,11,1.000296783823,e2_only,k1_not_in_3_12
252877,253247,-369,371,-875347,1,>12,12,1.000117525335,e2_only,k1_not_in_3_12
253823,253969,-145,147,-994267,1,12,>12,1.000046208653,e1_only,k2_not_in_3_12
256889,257591,-701,703,-536155,1,10,>12,1.000219081829,e1_only,k2_not_in_3_12
258233,258787,-553,555,-727123,1,11,>12,1.000171972167,e1_only,k2_not_in_3_12
260489,261241,-751,753,-477955,1,8,>12,1.000231166486,e1_only,k2_not_in_3_12
260609,260753,-143,145,-1021987,1,8,>12,1.000044295502,e1_only,k2_not_in_3_12
