candidate_id,a0,a1,b0,b1,norm_f,factorization_f,largest_prime_f,norm_g,factorization_g,largest_prime_g,baseline_f,baseline_factorization_f,baseline_largest_prime_f,baseline_g,baseline_factorization_g,baseline_largest_prime_g,actual_f_B7,actual_g_B7,actual_joint_B7,baseline_f_B7,baseline_g_B7,baseline_joint_B7,actual_f_B13,actual_g_B13,actual_joint_B13,baseline_f_B13,baseline_g_B13,baseline_joint_B13
268,0,0,-1,0,1,1,1,16,2^4,2,1,1,1,28,2^2*7^1,7,1,1,1,1,1,1,1,1,1,1,1,1
269,0,0,-1,1,27,3^3,3,432,2^4*3^3,3,28,2^2*7^1,7,351,3^3*13^1,13,1,1,1,1,0,0,1,1,1,1,1,1
270,0,0,-1,2,729,3^6,3,11664,2^4*3^6,3,806,2^1*13^1*31^1,31,11000,2^3*5^3*11^1,11,1,1,1,0,0,0,1,1,1,0,1,0
271,0,0,0,-1,8,2^3,2,128,2^7,2,15,3^1*5^1,5,201,3^1*67^1,67,1,1,1,1,0,0,1,1,1,1,0,0
272,0,0,0,1,8,2^3,2,128,2^7,2,12,2^2*3^1,3,154,2^1*7^1*11^1,11,1,1,1,1,0,0,1,1,1,1,1,1
273,0,0,1,-2,729,3^6,3,11664,2^4*3^6,3,893,19^1*47^1,47,11638,2^1*11^1*23^2,23,1,1,1,0,0,0,1,1,1,0,0,0
274,0,0,1,-1,27,3^3,3,432,2^4*3^3,3,31,31^1,31,284,2^2*71^1,71,1,1,1,0,0,0,1,1,1,0,0,0
275,0,0,1,0,1,1,1,16,2^4,2,1,1,1,23,23^1,23,1,1,1,1,0,0,1,1,1,1,0,0
276,0,0,1,1,27,3^3,3,432,2^4*3^3,3,28,2^2*7^1,7,370,2^1*5^1*37^1,37,1,1,1,1,0,0,1,1,1,1,0,0
277,0,0,1,2,729,3^6,3,11664,2^4*3^6,3,701,701^1,701,15978,2^1*3^1*2663^1,2663,1,1,1,0,0,0,1,1,1,0,0,0
278,0,0,2,-1,216,2^3*3^3,3,3456,2^7*3^3,3,223,223^1,223,3352,2^3*419^1,419,1,1,1,0,0,0,1,1,1,0,0,0
279,0,0,2,1,216,2^3*3^3,3,3456,2^7*3^3,3,138,2^1*3^1*23^1,23,2717,11^1*13^1*19^1,19,1,1,1,0,0,0,1,1,1,0,0,0
280,0,1,-2,-2,968,2^3*11^2,11,32328,2^3*3^2*449^1,449,799,17^1*47^1,47,17705,5^1*3541^1,3541,0,0,0,0,0,0,1,0,0,0,0,0
281,0,1,-2,-1,216,2^3*3^3,3,3776,2^6*59^1,59,132,2^2*3^1*11^1,11,2751,3^1*7^1*131^1,131,1,0,0,0,0,0,1,0,0,1,0,0
282,0,1,-2,0,72,2^3*3^2,3,1032,2^3*3^1*43^1,43,92,2^2*23^1,23,1051,1051^1,1051,1,0,0,0,0,0,1,0,0,0,0,0
283,0,1,-2,1,344,2^3*43^1,43,3264,2^6*3^1*17^1,17,477,3^2*53^1,53,2541,3^1*7^1*11^2,11,0,0,0,0,0,0,0,0,0,0,1,0
284,0,1,-2,2,3144,2^3*3^1*131^1,131,23624,2^3*2953^1,2953,2400,2^5*3^1*5^2,5,17969,7^1*17^1*151^1,151,0,0,0,1,0,0,0,0,0,1,0,0
285,0,1,-1,-2,227,227^1,227,14802,2^1*3^1*2467^1,2467,146,2^1*73^1,73,12407,19^1*653^1,653,0,0,0,0,0,0,0,0,0,0,0,0
286,0,1,-1,-1,33,3^1*11^1,11,578,2^1*17^2,17,44,2^2*11^1,11,578,2^1*17^2,17,0,0,0,0,0,0,1,0,0,1,0,0
287,0,1,-1,0,3,3^1,3,18,2^1*3^2,3,2,2^1,2,26,2^1*13^1,13,1,1,1,1,0,0,1,1,1,1,1,1
288,0,1,-1,1,89,89^1,89,354,2^1*3^1*59^1,59,81,3^4,3,286,2^1*11^1*13^1,13,0,0,0,1,0,0,0,0,0,1,1,1
289,0,1,-1,2,1683,3^2*11^1*17^1,17,8978,2^1*67^2,67,1331,11^3,11,14853,3^1*4951^1,4951,0,0,0,0,0,0,0,0,0,1,0,0
290,0,1,0,-2,72,2^3*3^2,3,10952,2^3*37^2,37,64,2^6,2,15844,2^2*17^1*233^1,233,1,0,0,1,0,0,1,0,0,1,0,0
291,0,1,0,-1,8,2^3,2,288,2^5*3^2,3,13,13^1,13,389,389^1,389,1,1,1,0,0,0,1,1,1,1,0,0
292,0,1,0,0,8,2^3,2,8,2^3,2,11,11^1,11,15,3^1*5^1,5,1,1,1,0,1,0,1,1,1,1,1,1
293,0,1,0,1,72,2^3*3^2,3,32,2^5,2,105,3^1*5^1*7^1,7,57,3^1*19^1,19,1,1,1,1,0,0,1,1,1,1,0,0
294,0,1,0,2,1352,2^3*13^2,13,5832,2^3*3^6,3,2033,19^1*107^1,107,5238,2^1*3^3*97^1,97,0,1,0,0,0,0,1,1,1,0,0,0
295,0,1,1,-2,227,227^1,227,14802,2^1*3^1*2467^1,2467,253,11^1*23^1,23,15519,3^1*7^1*739^1,739,0,0,0,0,0,0,0,0,0,0,0,0
296,0,1,1,-1,33,3^1*11^1,11,578,2^1*17^2,17,62,2^1*31^1,31,553,7^1*79^1,79,0,0,0,0,0,0,1,0,0,0,0,0
297,0,1,1,0,3,3^1,3,18,2^1*3^2,3,3,3^1,3,29,29^1,29,1,1,1,1,0,0,1,1,1,1,0,0
298,0,1,1,1,89,89^1,89,354,2^1*3^1*59^1,59,99,3^2*11^1,11,476,2^2*7^1*17^1,17,0,0,0,0,0,0,0,0,0,1,0,0
299,0,1,1,2,1683,3^2*11^1*17^1,17,8978,2^1*67^2,67,1809,3^3*67^1,67,8396,2^2*2099^1,2099,0,0,0,0,0,0,0,0,0,0,0,0
300,0,1,2,-2,968,2^3*11^2,11,32328,2^3*3^2*449^1,449,894,2^1*3^1*149^1,149,30006,2^1*3^2*1667^1,1667,0,0,0,0,0,0,1,0,0,0,0,0
301,0,1,2,-1,216,2^3*3^3,3,3776,2^6*59^1,59,195,3^1*5^1*13^1,13,3050,2^1*5^2*61^1,61,1,0,0,0,0,0,1,0,0,1,0,0
302,0,1,2,0,72,2^3*3^2,3,1032,2^3*3^1*43^1,43,97,97^1,97,1518,2^1*3^1*11^1*23^1,23,1,0,0,0,0,0,1,0,0,0,0,0
303,0,1,2,1,344,2^3*43^1,43,3264,2^6*3^1*17^1,17,454,2^1*227^1,227,3229,3229^1,3229,0,0,0,0,0,0,0,0,0,0,0,0
304,0,1,2,2,3144,2^3*3^1*131^1,131,23624,2^3*2953^1,2953,3198,2^1*3^1*13^1*41^1,41,31507,7^2*643^1,643,0,0,0,0,0,0,0,0,0,0,0,0
305,0,2,-2,-1,1112,2^3*139^1,139,2592,2^5*3^4,3,1180,2^2*5^1*59^1,59,2599,23^1*113^1,113,0,1,0,0,0,0,0,1,0,0,0,0
306,0,2,-2,1,408,2^3*3^1*17^1,17,5408,2^5*13^2,13,476,2^2*7^1*17^1,17,4951,4951^1,4951,0,0,0,0,0,0,0,1,0,0,0,0
307,0,2,-1,-2,849,3^1*283^1,283,21464,2^3*2683^1,2683,776,2^3*97^1,97,31913,7^1*47^1*97^1,97,0,0,0,0,0,0,0,0,0,0,0,0
308,0,2,-1,-1,731,17^1*43^1,43,1176,2^3*3^1*7^2,7,601,601^1,601,1154,2^1*577^1,577,0,1,0,0,0,0,0,1,0,0,0,0
309,0,2,-1,0,393,3^1*131^1,131,408,2^3*3^1*17^1,17,459,3^3*17^1,17,345,3^1*5^1*23^1,23,0,0,0,0,0,0,0,0,0,0,0,0
310,0,2,-1,1,747,3^2*83^1,83,1112,2^3*139^1,139,522,2^1*3^2*29^1,29,1146,2^1*3^1*191^1,191,0,0,0,0,0,0,0,0,0,0,0,0
311,0,2,-1,2,4721,4721^1,4721,5976,2^3*3^2*83^1,83,5572,2^2*7^1*199^1,199,7428,2^2*3^1*619^1,619,0,0,0,0,0,0,0,0,0,0,0,0
312,0,2,0,-1,648,2^3*3^4,3,1568,2^5*7^2,7,937,937^1,937,1982,2^1*991^1,991,1,1,1,0,0,0,1,1,1,0,0,0
313,0,2,0,1,968,2^3*11^2,11,288,2^5*3^2,3,941,941^1,941,305,5^1*61^1,61,0,1,0,0,0,0,1,1,1,0,0,0
314,0,2,1,-2,849,3^1*283^1,283,21464,2^3*2683^1,2683,904,2^3*113^1,113,28053,3^3*1039^1,1039,0,0,0,0,0,0,0,0,0,0,0,0
315,0,2,1,-1,731,17^1*43^1,43,1176,2^3*3^1*7^2,7,610,2^1*5^1*61^1,61,1971,3^3*73^1,73,0,1,0,0,0,0,0,1,0,0,0,0
316,0,2,1,0,393,3^1*131^1,131,408,2^3*3^1*17^1,17,275,5^2*11^1,11,343,7^3,7,0,0,0,0,1,0,0,0,0,1,1,1
317,0,2,1,1,747,3^2*83^1,83,1112,2^3*139^1,139,582,2^1*3^1*97^1,97,1626,2^1*3^1*271^1,271,0,0,0,0,0,0,0,0,0,0,0,0
318,0,2,1,2,4721,4721^1,4721,5976,2^3*3^2*83^1,83,4620,2^2*3^1*5^1*7^1*11^1,11,4842,2^1*3^2*269^1,269,0,0,0,0,0,0,0,0,0,1,0,0
319,0,2,2,-1,1112,2^3*139^1,139,2592,2^5*3^4,3,1473,3^1*491^1,491,3462,2^1*3^1*577^1,577,0,1,0,0,0,0,0,1,0,0,0,0
320,0,2,2,1,408,2^3*3^1*17^1,17,5408,2^5*13^2,13,444,2^2*3^1*37^1,37,7535,5^1*11^1*137^1,137,0,0,0,0,0,0,0,1,0,0,0,0
321,1,-2,-2,-2,2673,3^5*11^1,11,30753,3^3*17^1*67^1,67,3797,3797^1,3797,27523,17^1*1619^1,1619,0,0,0,0,0,0,1,0,0,0,0,0
322,1,-2,-2,-1,1,1,1,5441,5441^1,5441,1,1,1,6436,2^2*1609^1,1609,1,0,0,1,0,0,1,0,0,1,0,0
323,1,-2,-2,0,737,11^1*67^1,67,177,3^1*59^1,59,726,2^1*3^1*11^2,11,208,2^4*13^1,13,0,0,0,0,0,0,0,0,0,1,1,1
324,1,-2,-2,1,1377,3^4*17^1,17,5697,3^3*211^1,211,1103,1103^1,1103,5219,17^1*307^1,307,0,0,0,0,0,0,0,0,0,0,0,0
325,1,-2,-2,2,1009,1009^1,1009,48929,113^1*433^1,433,515,5^1*103^1,103,38447,38447^1,38447,0,0,0,0,0,0,0,0,0,0,0,0
326,1,-2,-1,-2,2969,2969^1,2969,11524,2^2*43^1*67^1,67,3194,2^1*1597^1,1597,15349,15349^1,15349,0,0,0,0,0,0,0,0,0,0,0,0
327,1,-2,-1,-1,459,3^3*17^1,17,1944,2^3*3^5,3,326,2^1*163^1,163,1511,1511^1,1511,0,1,0,0,0,0,0,1,0,0,0,0
328,1,-2,-1,0,657,3^2*73^1,73,452,2^2*113^1,113,564,2^2*3^1*47^1,47,335,5^1*67^1,67,0,0,0,0,0,0,0,0,0,0,0,0
329,1,-2,-1,1,971,971^1,971,2776,2^3*347^1,347,596,2^2*149^1,149,2259,3^2*251^1,251,0,0,0,0,0,0,0,0,0,0,0,0
330,1,-2,-1,2,729,3^6,3,26244,2^2*3^8,3,1016,2^3*127^1,127,22735,5^1*4547^1,4547,1,1,1,0,0,0,1,1,1,0,0,0
331,1,-2,0,-2,4489,67^2,67,3849,3^1*1283^1,1283,7964,2^2*11^1*181^1,181,3318,2^1*3^1*7^1*79^1,79,0,0,0,0,0,0,0,0,0,0,0,0
332,1,-2,0,-1,1137,3^1*379^1,379,697,17^1*41^1,41,1620,2^2*3^4*5^1,5,590,2^1*5^1*59^1,59,0,0,0,1,0,0,0,0,0,1,0,0
333,1,-2,0,0,729,3^6,3,729,3^6,3,878,2^1*439^1,439,918,2^1*3^3*17^1,17,1,1,1,0,0,0,1,1,1,0,0,0
334,1,-2,0,1,913,11^1*83^1,83,1593,3^3*59^1,59,813,3^1*271^1,271,1503,3^2*167^1,167,0,0,0,0,0,0,0,0,0,0,0,0
335,1,-2,0,2,1161,3^3*43^1,43,17161,131^2,131,1332,2^2*3^2*37^1,37,19072,2^7*149^1,149,0,0,0,0,0,0,0,0,0,0,0,0
336,1,-2,1,-2,6561,3^8,3,2916,2^2*3^6,3,4253,4253^1,4253,3521,7^1*503^1,503,1,1,1,0,0,0,1,1,1,0,0,0
337,1,-2,1,-1,1531,1531^1,1531,536,2^3*67^1,67,1510,2^1*5^1*151^1,151,627,3^1*11^1*19^1,19,0,0,0,0,0,0,0,0,0,0,0,0
338,1,-2,1,0,569,569^1,569,804,2^2*3^1*67^1,67,670,2^1*5^1*67^1,67,935,5^1*11^1*17^1,17,0,0,0,0,0,0,0,0,0,0,0,0
339,1,-2,1,1,891,3^4*11^1,11,216,2^3*3^3,3,585,3^2*5^1*13^1,13,171,3^2*19^1,19,0,1,0,0,0,0,1,1,1,1,0,0
340,1,-2,1,2,2017,2017^1,2017,15332,2^2*3833^1,3833,1496,2^3*11^1*17^1,17,10904,2^3*29^1*47^1,47,0,0,0,0,0,0,0,0,0,0,0,0
341,1,-2,2,-2,9809,17^1*577^1,577,13729,13729^1,13729,9062,2^1*23^1*197^1,197,10379,97^1*107^1,107,0,0,0,0,0,0,0,0,0,0,0,0
342,1,-2,2,-1,1809,3^3*67^1,67,3969,3^4*7^2,7,1849,43^2,43,4093,4093^1,4093,0,1,0,0,0,0,0,1,0,0,0,0
343,1,-2,2,0,129,3^1*43^1,43,2609,2609^1,2609,240,2^4*3^1*5^1,5,2065,5^1*7^1*59^1,59,0,0,0,1,0,0,0,0,0,1,0,0
344,1,-2,2,1,881,881^1,881,1921,17^1*113^1,113,1009,1009^1,1009,1781,13^1*137^1,137,0,0,0,0,0,0,0,0,0,0,0,0
345,1,-2,2,2,3537,3^3*131^1,131,27297,3^4*337^1,337,2653,7^1*379^1,379,26926,2^1*13463^1,13463,0,0,0,0,0,0,0,0,0,0,0,0
346,1,-1,-2,-2,2227,17^1*131^1,131,27107,27107^1,27107,2753,2753^1,2753,22370,2^1*5^1*2237^1,2237,0,0,0,0,0,0,0,0,0,0,0,0
347,1,-1,-2,-1,243,3^5,3,3483,3^4*43^1,43,232,2^3*29^1,29,4085,5^1*19^1*43^1,43,1,0,0,0,0,0,1,0,0,0,0,0
348,1,-1,-2,0,131,131^1,131,1011,3^1*337^1,337,195,3^1*5^1*13^1,13,930,2^1*3^1*5^1*31^1,31,0,0,0,0,0,0,0,0,0,1,0,0
349,1,-1,-2,1,67,67^1,67,5147,5147^1,5147,120,2^3*3^1*5^1,5,5233,5233^1,5233,0,0,0,1,0,0,0,0,0,1,0,0
350,1,-1,-2,2,243,3^5,3,36963,3^3*37^2,37,211,211^1,211,43940,2^2*5^1*13^3,13,1,0,0,0,0,0,1,0,0,0,1,0
351,1,-1,-1,-2,1161,3^3*43^1,43,11016,2^3*3^4*17^1,17,1754,2^1*877^1,877,12059,31^1*389^1,389,0,0,0,0,0,0,0,0,0,0,0,0
352,1,-1,-1,-1,11,11^1,11,556,2^2*139^1,139,8,2^3,2,558,2^1*3^2*31^1,31,0,0,0,1,0,0,1,0,0,1,0,0
353,1,-1,-1,0,33,3^1*11^1,11,8,2^3,2,60,2^2*3^1*5^1,5,9,3^2,3,0,1,0,1,1,1,1,1,1,1,1,1
354,1,-1,-1,1,27,3^3,3,972,2^2*3^5,3,21,3^1*7^1,7,924,2^2*3^1*7^1*11^1,11,1,1,1,1,0,0,1,1,1,1,1,1
355,1,-1,-1,2,137,137^1,137,16072,2^3*7^2*41^1,41,223,223^1,223,8697,3^1*13^1*223^1,223,0,0,0,0,0,0,0,0,0,0,0,0
356,1,-1,0,-2,1227,3^1*409^1,409,6667,59^1*113^1,113,1155,3^1*5^1*7^1*11^1,11,4212,2^2*3^4*13^1,13,0,0,0,0,0,0,0,0,0,1,1,1
357,1,-1,0,-1,67,67^1,67,147,3^1*7^2,7,80,2^4*5^1,5,232,2^3*29^1,29,0,1,0,1,0,0,0,1,0,1,0,0
358,1,-1,0,0,27,3^3,3,27,3^3,3,23,23^1,23,23,23^1,23,1,1,1,0,0,0,1,1,1,0,0,0
359,1,-1,0,1,51,3^1*17^1,17,211,211^1,211,45,3^2*5^1,5,254,2^1*127^1,127,0,0,0,1,0,0,0,0,0,1,0,0
360,1,-1,0,2,331,331^1,331,10251,3^2*17^1*67^1,67,353,353^1,353,12910,2^1*5^1*1291^1,1291,0,0,0,0,0,0,0,0,0,0,0,0
361,1,-1,1,-2,2137,2137^1,2137,8072,2^3*1009^1,1009,2273,2273^1,2273,4836,2^2*3^1*13^1*31^1,31,0,0,0,0,0,0,0,0,0,0,0,0
362,1,-1,1,-1,243,3^5,3,108,2^2*3^3,3,230,2^1*5^1*23^1,23,102,2^1*3^1*17^1,17,1,1,1,0,0,0,1,1,1,0,0,0
363,1,-1,1,0,17,17^1,17,72,2^3*3^2,3,23,23^1,23,86,2^1*43^1,43,0,1,0,0,0,0,0,1,0,0,0,0
364,1,-1,1,1,67,67^1,67,332,2^2*83^1,83,120,2^3*3^1*5^1,5,395,5^1*79^1,79,0,0,0,1,0,0,0,0,0,1,0,0
365,1,-1,1,2,729,3^6,3,12744,2^3*3^3*59^1,59,719,719^1,719,8444,2^2*2111^1,2111,1,0,0,0,0,0,1,0,0,0,0,0
366,1,-1,2,-2,4563,3^3*13^2,13,19683,3^9,3,7379,47^1*157^1,157,30528,2^6*3^2*53^1,53,0,1,0,0,0,0,1,1,1,0,0,0
367,1,-1,2,-1,803,11^1*73^1,73,2203,2203^1,2203,851,23^1*37^1,37,2138,2^1*1069^1,1069,0,0,0,0,0,0,0,0,0,0,0,0
368,1,-1,2,0,99,3^2*11^1,11,1139,17^1*67^1,67,116,2^2*29^1,29,2029,2029^1,2029,0,0,0,0,0,0,1,0,0,0,0,0
369,1,-1,2,1,243,3^5,3,3483,3^4*43^1,43,221,13^1*17^1,17,2661,3^1*887^1,887,1,0,0,0,0,0,1,0,0,0,0,0
370,1,-1,2,2,1811,1811^1,1811,28771,28771^1,28771,1458,2^1*3^6,3,22373,13^1*1721^1,1721,0,0,0,1,0,0,0,0,0,1,0,0
371,1,0,-2,-2,1369,37^2,37,29769,3^1*9923^1,9923,1536,2^9*3^1,3,19788,2^2*3^1*17^1*97^1,97,0,0,0,1,0,0,0,0,0,1,0,0
372,1,0,-2,-1,121,11^2,11,4041,3^2*449^1,449,120,2^3*3^1*5^1,5,2095,5^1*419^1,419,0,0,0,1,0,0,1,0,0,1,0,0
373,1,0,-2,0,9,3^2,3,1369,37^2,37,10,2^1*5^1,5,1230,2^1*3^1*5^1*41^1,41,1,0,0,1,0,0,1,0,0,1,0,0
374,1,0,-2,1,121,11^2,11,4041,3^2*449^1,449,113,113^1,113,2387,7^1*11^1*31^1,31,0,0,0,0,0,0,1,0,0,0,0,0
375,1,0,-2,2,1369,37^2,37,29769,3^1*9923^1,9923,1238,2^1*619^1,619,22402,2^1*23^1*487^1,487,0,0,0,0,0,0,0,0,0,0,0,0
376,1,0,-1,-2,681,3^1*227^1,227,12196,2^2*3049^1,3049,657,3^2*73^1,73,12755,5^1*2551^1,2551,0,0,0,0,0,0,0,0,0,0,0,0
377,1,0,-1,-1,27,3^3,3,472,2^3*59^1,59,17,17^1,17,370,2^1*5^1*37^1,37,1,0,0,0,0,0,1,0,0,0,0,0
378,1,0,-1,0,1,1,1,36,2^2*3^2,3,1,1,1,63,3^2*7^1,7,1,1,1,1,1,1,1,1,1,1,1,1
379,1,0,-1,1,27,3^3,3,472,2^3*59^1,59,26,2^1*13^1,13,306,2^1*3^2*17^1,17,1,0,0,0,0,0,1,0,0,1,0,0
380,1,0,-1,2,681,3^1*227^1,227,12196,2^2*3049^1,3049,746,2^1*373^1,373,14704,2^4*919^1,919,0,0,0,0,0,0,0,0,0,0,0,0
381,1,0,0,-2,561,3^1*11^1*17^1,17,8241,3^1*41^1*67^1,67,987,3^1*7^1*47^1,47,9211,61^1*151^1,151,0,0,0,0,0,0,0,0,0,0,0,0
382,1,0,0,-1,9,3^2,3,129,3^1*43^1,43,12,2^2*3^1,3,147,3^1*7^2,7,1,0,0,1,1,1,1,0,0,1,1,1
383,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
384,1,0,0,1,9,3^2,3,129,3^1*43^1,43,8,2^3,2,146,2^1*73^1,73,1,0,0,1,0,0,1,0,0,1,0,0
385,1,0,0,2,561,3^1*11^1*17^1,17,8241,3^1*41^1*67^1,67,859,859^1,859,12210,2^1*3^1*5^1*11^1*37^1,37,0,0,0,0,0,0,0,0,0,0,0,0
386,1,0,1,-2,913,11^1*83^1,83,11268,2^2*3^2*313^1,313,641,641^1,641,14268,2^2*3^1*29^1*41^1,41,0,0,0,0,0,0,0,0,0,0,0,0
387,1,0,1,-1,43,43^1,43,408,2^3*3^1*17^1,17,52,2^2*13^1,13,424,2^3*53^1,53,0,0,0,0,0,0,0,0,0,1,0,0
388,1,0,1,0,9,3^2,3,4,2^2,2,14,2^1*7^1,7,6,2^1*3^1,3,1,1,1,1,1,1,1,1,1,1,1,1
389,1,0,1,1,43,43^1,43,408,2^3*3^1*17^1,17,57,3^1*19^1,19,407,11^1*37^1,37,0,0,0,0,0,0,0,0,0,0,0,0
390,1,0,1,2,913,11^1*83^1,83,11268,2^2*3^2*313^1,313,534,2^1*3^1*89^1,89,11038,2^1*5519^1,5519,0,0,0,0,0,0,0,0,0,0,0,0
391,1,0,2,-2,2361,3^1*787^1,787,25801,25801^1,25801,2158,2^1*13^1*83^1,83,24623,24623^1,24623,0,0,0,0,0,0,0,0,0,0,0,0
392,1,0,2,-1,393,3^1*131^1,131,2953,2953^1,2953,327,3^1*109^1,109,3631,3631^1,3631,0,0,0,0,0,0,0,0,0,0,0,0
393,1,0,2,0,169,13^2,13,729,3^6,3,244,2^2*61^1,61,800,2^5*5^2,5,0,1,0,0,1,0,1,1,1,0,1,0
394,1,0,2,1,393,3^1*131^1,131,2953,2953^1,2953,505,5^1*101^1,101,2650,2^1*5^2*53^1,53,0,0,0,0,0,0,0,0,0,0,0,0
395,1,0,2,2,2361,3^1*787^1,787,25801,25801^1,25801,2402,2^1*1201^1,1201,26704,2^4*1669^1,1669,0,0,0,0,0,0,0,0,0,0,0,0
396,1,1,-2,-2,243,3^5,3,36963,3^3*37^2,37,180,2^2*3^2*5^1,5,46750,2^1*5^3*11^1*17^1,17,1,0,0,1,0,0,1,0,0,1,0,0
397,1,1,-2,-1,67,67^1,67,5147,5147^1,5147,88,2^3*11^1,11,4252,2^2*1063^1,1063,0,0,0,0,0,0,0,0,0,1,0,0
398,1,1,-2,0,131,131^1,131,1011,3^1*337^1,337,142,2^1*71^1,71,544,2^5*17^1,17,0,0,0,0,0,0,0,0,0,0,0,0
399,1,1,-2,1,243,3^5,3,3483,3^4*43^1,43,188,2^2*47^1,47,3728,2^4*233^1,233,1,0,0,0,0,0,1,0,0,0,0,0
400,1,1,-2,2,2227,17^1*131^1,131,27107,27107^1,27107,3995,5^1*17^1*47^1,47,19640,2^3*5^1*491^1,491,0,0,0,0,0,0,0,0,0,0,0,0
401,1,1,-1,-2,137,137^1,137,16072,2^3*7^2*41^1,41,178,2^1*89^1,89,9550,2^1*5^2*191^1,191,0,0,0,0,0,0,0,0,0,0,0,0
402,1,1,-1,-1,27,3^3,3,972,2^2*3^5,3,31,31^1,31,851,23^1*37^1,37,1,1,1,0,0,0,1,1,1,0,0,0
403,1,1,-1,0,33,3^1*11^1,11,8,2^3,2,36,2^2*3^2,3,8,2^3,2,0,1,0,1,1,1,1,1,1,1,1,1
404,1,1,-1,1,11,11^1,11,556,2^2*139^1,139,13,13^1,13,806,2^1*13^1*31^1,31,0,0,0,0,0,0,1,0,0,1,0,0
405,1,1,-1,2,1161,3^3*43^1,43,11016,2^3*3^4*17^1,17,1437,3^1*479^1,479,9640,2^3*5^1*241^1,241,0,0,0,0,0,0,0,0,0,0,0,0
406,1,1,0,-2,331,331^1,331,10251,3^2*17^1*67^1,67,379,379^1,379,9600,2^7*3^1*5^2,5,0,0,0,0,1,0,0,0,0,0,1,0
407,1,1,0,-1,51,3^1*17^1,17,211,211^1,211,60,2^2*3^1*5^1,5,144,2^4*3^2,3,0,0,0,1,1,1,0,0,0,1,1,1
408,1,1,0,0,27,3^3,3,27,3^3,3,29,29^1,29,18,2^1*3^2,3,1,1,1,0,1,0,1,1,1,0,1,0
